review,rating,date,bank,source,sentiment,keywords
Cbe mobile banking,5,2025-05-20,CBE,Google Play,0.0,"['mobile', 'banking']"
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,0.0,"['make', 'screenshout', 'please', 'made', 'modification']"
Best app I loved it,5,2025-05-19,CBE,Google Play,0.85,"['best', 'loved']"
nice app,5,2025-05-19,CBE,Google Play,0.6,['nice']
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,0.7500000000000001,"['amazing', 'applicatiom', 'sometimes', 'doesnt', 'work']"
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,0.675,"['well', 'satisfied', 'beautiful']"
very good,4,2025-05-17,CBE,Google Play,0.9099999999999999,['good']
best app.,5,2025-05-17,CBE,Google Play,1.0,['best']
"not working,why???",5,2025-05-17,CBE,Google Play,0.0,['working']
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,0.8,"['great', 'impact', 'developer', 'option', 'turnoff']"
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,-0.08333333333333333,"['always', 'disappointing', 'especially', 'similar', 'local', 'applications', 'extremely', 'superior', 'application', 'really', 'disappointing']"
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,0.0,"['woxe', 'harimo', 'ribiso']"
"Good ,easy to use",5,2025-05-16,CBE,Google Play,0.5666666666666667,"['good', 'easy']"
Good app,5,2025-05-15,CBE,Google Play,0.7,['good']
Good job👍,5,2025-05-14,CBE,Google Play,0.7,['good']
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,0.27499999999999997,"['please', 'kindly', 'update', 'allow', 'screenshot', 'convenient', 'efficient', 'long', 'security', 'access', 'reason', 'block', 'screenshooting', 'screen']"
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,0.4,"['using', 'mobile', 'banking', 'overall', 'appreciate', 'feuteres', 'however', 'notticed', 'turn', 'developer', 'options', 'divice', 'stop', 'functioning', 'prorerly', 'great', 'look', 'issue', 'often', 'need', 'access', 'developer', 'setting', 'otter', 'application', 'thankyou', 'attention', 'matter']"
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,5.551115123125783e-17,"['customer', 'service', 'nothing', 'good']"
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,0.6000000000000001,"['amazing', 'mobile', 'banking', 'screenshot', 'receipt', 'doesnt', 'work']"
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,0.2111111111111111,"['fast', 'simple', 'easy']"
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,0.0,"['fastest', 'transferring', 'ever', 'reliable']"
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,0.0,"['funds', 'transferred', 'same', 'reflect', 'account', 'though', 'confirmation', 'text', 'message', 'received']"
it's easy and fast,5,2025-05-10,CBE,Google Play,0.31666666666666665,"['easy', 'fast']"
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,-0.3,"['self', 'activation', 'look', 'near', 'branch', 'disgusting']"
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,0.30000000000000004,"['hello', 'dearest', 'office', 'personnel', 'make', 'benefits', 'using', 'interest', 'free', 'accounts', 'thanks', 'help']"
wow best application ever,5,2025-05-09,CBE,Google Play,0.55,"['best', 'application', 'ever']"
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,-0.26666666666666666,"['sorry', 'developer', 'mode', 'application', 'hack', 'sure', 'developer', 'stupid', 'doesnt', 'makes', 'sense']"
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,0.0,"['pride', 'ethiopian']"
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,0.0,"['telling', 'turn', 'developer', 'options', 'please']"
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,0.375,"['happy', 'small', 'prob', 'transfer', 'cant', 'transfer', 'cashe']"
amazing apps,5,2025-05-06,CBE,Google Play,0.6000000000000001,"['amazing', 'apps']"
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,0.0,"['service', 'mobile', 'banking']"
needs improvement,1,2025-05-06,CBE,Google Play,0.0,"['needs', 'improvement']"
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,-0.012499999999999997,"['miss', 'couldn', 'send', 'mony']"
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,0.42976190476190484,"['recently', 'crushing', 'each', 'time', 'open', 'make', 'transfers', 'used', 'good', 'take', 'lessons', 'dashen', 'super', 'ethiotelecom', 'befitting', 'experience', 'glory', 'inv3st', 'making', 'friendly', 'convenient', 'considering', 'leaving', 'good']"
good but these week not oky,4,2025-05-06,CBE,Google Play,0.7,"['good', 'week']"
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,1.0,"['well', 'designed', 'fixing', 'bugs', 'step', 'verification', 'biometric', 'simply', 'great']"
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,0.39999999999999997,"['developer', 'reading', 'please', 'screenshot', 'functionality', 'least', 'download', 'button', 'work', 'flawlessly', 'without', 'touching', 'twenty', 'times']"
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,0.39166666666666666,"['great', 'thing', 'hasn', 'placed', 'transfer', 'banks', 'face', 'mobile', 'charge', 'card', 'place']"
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,0.0,"['mobilr', 'bankg']"
verygood,3,2025-05-05,CBE,Google Play,0.0,['verygood']
ممتاز جدا,5,2025-05-04,CBE,Google Play,0.0,['ممتاز']
it's very low quality application,1,2025-05-04,CBE,Google Play,0.0,"['quality', 'application']"
Very Amazing Apps,5,2025-05-04,CBE,Google Play,0.7800000000000001,"['amazing', 'apps']"
አዛ,1,2025-05-04,CBE,Google Play,0.0,[]
wow simple life,5,2025-05-04,CBE,Google Play,0.05,"['simple', 'life']"
it's nice,5,2025-05-03,CBE,Google Play,0.6,['nice']
Why stacked sometimes,5,2025-05-03,CBE,Google Play,0.0,"['stacked', 'sometimes']"
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,0.3,"['okay', 'sometimes', 'busy']"
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,-0.16999999999999998,"['worst', 'commercial', 'company', 'fails', 'normal', 'things', 'again', 'again']"
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,0.06999999999999998,"['good', 'disappointed', 'general', 'cessation', 'system']"
Good and fast,5,2025-05-02,CBE,Google Play,0.44999999999999996,"['good', 'fast']"
Unreliable!,1,2025-05-02,CBE,Google Play,0.0,['unreliable']
Best the best fast,5,2025-05-02,CBE,Google Play,0.7333333333333334,"['best', 'best', 'fast']"
happy,5,2025-05-02,CBE,Google Play,0.8,['happy']
fast and reliable,5,2025-05-02,CBE,Google Play,0.2,"['fast', 'reliable']"
network errorrrrrr,2,2025-05-02,CBE,Google Play,0.0,"['network', 'errorrrrrr']"
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,0.675,"['best', 'problem', 'send', 'money', 'telebirr', 'mpesa', 'full']"
its good and simple to use,5,2025-05-02,CBE,Google Play,0.35,"['good', 'simple']"
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,0.0,"['worest', 'security', 'network', 'access']"
it's the best app i,5,2025-05-02,CBE,Google Play,1.0,['best']
not bad not good,1,2025-05-02,CBE,Google Play,-2.7755575615628914e-17,['good']
its very nice,5,2025-05-02,CBE,Google Play,0.78,['nice']
do not work this week,3,2025-04-30,CBE,Google Play,0.0,"['work', 'week']"
It crashes frequently,4,2025-04-30,CBE,Google Play,0.1,"['crashes', 'frequently']"
the best,5,2025-04-28,CBE,Google Play,1.0,['best']
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,0.0,"['simply', 'describe', 'making', 'work', 'easier']"
goid,5,2025-04-28,CBE,Google Play,0.0,['goid']
best appearance,5,2025-04-27,CBE,Google Play,1.0,"['best', 'appearance']"
it's very good 👍 app,5,2025-04-27,CBE,Google Play,0.9099999999999999,['good']
I need support you,5,2025-04-27,CBE,Google Play,0.0,"['need', 'support']"
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,-1.0,"['worst', 'mobile', 'banking', 'ever', 'seen', 'life']"
super,5,2025-04-26,CBE,Google Play,0.3333333333333333,['super']
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,0.0,['ጠጀጨገጀ']
i like the app,5,2025-04-26,CBE,Google Play,0.0,[]
the Best,1,2025-04-26,CBE,Google Play,1.0,['best']
to other bank is bad,1,2025-04-25,CBE,Google Play,-0.4124999999999999,[]
tank's,5,2025-04-25,CBE,Google Play,0.0,['tank']
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,0.39999999999999997,"['good', 'features', 'statement', 'showing']"
it is so nice,5,2025-04-24,CBE,Google Play,0.6,['nice']
Very Good👍,5,2025-04-21,CBE,Google Play,0.2,['good']
